Column_or_Row_Name,Unit,Definition,Data_Type
a254_per_m,per meter,Absorbance coefficient at 254 nm,numeric
Area_low_severity_percent,percent,Percentage of watershed area above sampling location that was classified as a low severity burn,numeric
Area_low_to_mod_severity_percent,percent,Percentage of watershed area above sampling location that was classified as a low-to-moderate severity burn,numeric
Area_mod_to_high_severity_percent,percent,Percentage of watershed area above sampling location that was classified as a moderate-to-high severity burn,numeric
Area_square_kilometer,square kilometer,Area of watershed above sampling location,numeric
Average_precipitation_milli_meter,percent,Average precipitation over watershed,numeric
Average_slope_percent,percent,Average slope of watershed above sampling location,numeric
B5CA_micro_mol_C_per_L,micro moles of carbon per liter,Concentration of benzenepentacarboxylic acid created during the oxidation of dissolved black carbon,numeric
B6CA_and_B5CA_micro_mol_C_per_L,micro moles of carbon per liter,Sum of benzenehexacarboxylic acid and benzenepentacarboxylic acid created during the oxidation of dissolved black carbon. This is a proxy for dissolved black carbon concentrations.,numeric
B6CA_micro_mol_C_per_L,micro moles of carbon per liter,Concentration of benzenehexacarboxylic acid created during the oxidation of dissolved black carbon,numeric
BPCA_DOC_percent,percent,Ratio of the sum of  benzenehexacarboxylic acid and benzenepentacarboxylic acid to dissolved organic carbon,numeric
Burn_Extent_percent,percent,Percentage of watershed area above sampling location that was classified as burned,numeric
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,text
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text
Date,MM-DD-YYYY,The date samples were taken,date
dB5CA_nano_mol_per_L,micro moles per liter,Concentration of benzenepentacarboxylic acid created during the oxidation of dissolved black carbon,numeric
dB6CA_B5CA,N/A,Molar ratio of benzenehexacarboxylic acid to benzenepentacarboxylic acid created during the oxidation of dissolved black carbon,numeric
dB6CA_nano_mol_per_L,micro moles per liter,Concentration of benzenehexacarboxylic acid created during the oxidation of dissolved black carbon,numeric
DBC_DOC_percent,percent,Ratio of dissolved black carbon to dissolved organic carbon,numeric
DBC_mgC_per_L,micro grams of carbon per liter,Concentration of dissolved black carbon as determined by the concentrations of benzenehexacarboxylic acid and benzenepentacarboxylic acid,numeric
DBC_micro_mol_C_per_L,micro moles of carbon per liter,Concentration of dissolved black carbon as determined by the concentrations of benzenehexacarboxylic acid and benzenepentacarboxylic acid,numeric
Definition,N/A,Description of the information in a given column or row in the dataset.,text
Developed_percent,percent,Percentage of watershed area above sampling location that was classified as developed,numeric
Discharge_cms,cubic meters per second,Stream discharge,numeric
DOC_mgC_per_L,micro grams of carbon per liter,Concentration of dissolved organic carbon,numeric
DOC_micro_mol_C_per_L,micro moles of carbon per liter,Concentrations of dissolved organic carbon,numeric
File_Description,N/A,A brief description of the files in the data package.,text
File_Name,N/A,Name of files in the data package.,text
File_Path,N/A,File path within the data package.,text
Flow_category,Baseflow (B); low flow (L); high flow (H),Category describing the flow conditions when the grab sample was taken.,text
Forest_percent,percent,Percentage of watershed area above sampling location that was classified as forest,numeric
Igneous_percent,percent,Percentage of watershed area above sampling location with igneous lithology,numeric
LAG_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at Laguna Creek,datetime
LAG_Flow_cms,cubic meters per second,The discharge of Laguna Creek,numeric
Lat,decimal degrees,Latitude of sample location,numeric
Latitude,decimal degrees,Latitude of sample location,numeric
Levo_DOC_percent,percent,Ratio of levoglucosan to dissolved organic carbon,numeric
levo_micro_gram_per_liter,micro grams of levoglucosan per liter,These values represent the concentration of levoglucosan measured in each sample.,numeric
Levo_micro_mol_C_per_L,micro moles of carbon per liter,Concentration of levoglucosan measured in each sample.,numeric
Location_Change,N/A,"Indicating whether or not the sample was taken from a different location. Due to flooding, some samples from Scott Creek were taken from a downstream location.",numeric
Long,decimal degrees,Longitude of sample location,numeric
Longitude,decimal degrees,Longitude of sample location,numeric
MAJ_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at Majors Creek,datetime
MAJ_Flow_cms,cubic meters per second,The discharge of Majors Creek,numeric
Missing_Value_Codes,N/A,"Cells with missing data are represented with a missing value code rather than an empty cell. This column describes which missing value codes were used. The recommendation for numeric data is ""-9999"" and for character data is ""N/A"".",text
pB5CA_nano_mol_per_L,micro moles per liter,Concentration of benzenepentacarboxylic acid created during the oxidation of particulate black carbon,numeric
pB6CA_B5CA,N/A,Molar ratio of benzenehexacarboxylic acid to benzenepentacarboxylic acid created during the oxidation of particulate black carbon,numeric
pB6CA_nano_mol_per_L,micro moles per liter,Concentration of benzenehexacarboxylic acid created during the oxidation of particulate black carbon,numeric
PBC_mgC_per_L,milligrams of carbon per liter,Concentration of particulate black carbon as determined by the concentrations of benzenehexacarboxylic acid and benzenepentacarboxylic acid,numeric
PBC_POC_percent,percent,Ratio of particulate black carbon to particulate organic carbon,numeric
PBC_TSS_percent,percent,Ratio of particulate black carbon to total suspended solids,numeric
PESC_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at Pescadero Creek,datetime
PESC_Flow_cms,cubic meters per second,The discharge of Pescadero Creek,numeric
POC_mgC_per_L,milligrams of carbon per liter,The concentration of particulate organic carbon,numeric
Sample_ID,N/A,This is a name given to samples analyzed. The letters are short hand for the watershed where the sample was taken and the numbers are indicative of the sampling event.,text
SAN_DateTime,m/d/yyyy h:mm:ss AM/PM,The datetime discharge measurements were taken at San Lorenzo River,datetime
SAN_Flow_cms,cubic meters per second,The discharge of the San Lorenzo River,numeric
Sandstone_and_sedimentary_percent,percent,Percentage of watershed area above sampling location with sandstone and other sedimentary lithology,numeric
Schist_percent,percent,Percentage of watershed area above sampling location with schist lithology,numeric
SCT_DateTime,m/d/yyyy,The date discharge measurements were taken at Scott Creek,date
SCT_Flow_cms,cubic meters per second,The discharge of the Scott Creek,numeric
Shrub_percent,percent,Percentage of watershed area above sampling location that was classified as shrubland,numeric
Standard,N/A,ESS-DIVE Reporting Format or other standard applied to the data file.,text
std_levo_micro_gram_per_liter,micro grams of levoglucosan per liter,These values represent the standard deviation of levoglucosan concentrations. The standard deviation was determined from duplicate injections of the same sample.,numeric
Suficial_Sediments_percent,percent,Percentage of watershed area above sampling location with surficial sediments,numeric
SUVA254_L_per_mgC_per_m,liter per millogram of carbon per meter,Specific ultraviolet absorbance at 254 nm,numeric
Time,HH:MM:SS,Time samples were taken,time
time_since_fire_day,days,The number of days since the containment of the CZU Lightning Complex Fires,numeric
TSS_mg_per_L,milligrams per liter,Concentration of total suspended solids,numeric
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text
Watershed,N/A,The name of the watershed samples from,text
